kwd,year,sub_num,sub_name,file
C81,2013,小学社会,1,慶應湘南藤沢_2013_社会.docx
H31,2016,小学社会,1,武蔵_2022_社会.docx
G23,2011,小学社会,1,日本女子大附属_2022_社会.docx
E32,2020,小学社会,1,逗子開成_2020_社会.docx
E44,2014,小学社会,1,聖光学院_2006_社会.docx
D16,2013,小学社会,1,香蘭女学校_2013_社会.docx
D74,2021,小学社会,1,渋谷教育学園幕張_2000_1_社会.docx
D74,2014,小学社会,1,渋谷教育学園幕張_2015_1_社会.docx
H41,2008,小学社会,1,明大付属明治_2014_社会.docx
J47,1993,小学社会,1,早大高等学院_2016_社会.docx
H03,2017,小学社会,1,法政第二_2020_社会
I02,2021,小学社会,2,早稲田実業_1999_社会.docx
B16,2019,小学社会,1,麻布_2007_社会.docx
J47,1995,小学社会,1,早大高等学院_2020_社会.docx
B45,2014,小学社会,1,浦和明の星女子_2011_社会.docx
D24,2020,小学社会,1,駒場東邦_2008_社会.docx
H41,2001,小学社会,1,明大付属明治_2022_社会.docx
F63,2019,小学社会,1,桐朋_2018_社会.docx
D16,2019,小学社会,1,香蘭女学校_2022_社会.docx
H31,2004,小学社会,1,武蔵_2013_社会.docx
G23,2014,小学社会,1,日本女子大附属_2013_社会.docx
D71,2013,小学社会,1,芝浦工業大附属_2015_社会.docx
#N/A,2010,小学社会,1,実践女子学園_2020_社会.docx
D74,2021,小学社会,1,渋谷教育学園幕張_2005_社会.docx
C81,2006,小学社会,1,慶應湘南藤沢_2022_社会.docx
B45,2009,小学社会,1,浦和明の星女子_2016_社会.docx
B16,2017,小学社会,1,麻布_2000_社会.docx
H03,2012,小学社会,1,法政第二_2021_社会.docx
F17,2015,小学社会,1,筑波大附属_2015_社会.docx
D73,2015,小学社会,1,渋谷教育学園渋谷_2022_社会.docx
C01,2003,小学社会,1,開智_2018_社会.docx
F18,2013,小学社会,1,筑波大附属駒場_2020_社会.docx
F69,2017,小学社会,1,東洋英和女学院_2020_社会.docx
F80,2014,小学社会,1,豊島岡女子学園_2022_社会.docx
G72,2018,小学社会,1,フェリス女学院_2017_社会.docx
D98,2009,小学社会,1,頌栄女子学院_2020_社会.docx
J46,2011,小学社会,1,中央大附属_2014_社会.docx
G93,2018,小学社会,1,雙葉_2004_社会.docx
E20,2011,小学社会,2,女子学院_1999_社会.docx
B95,2021,小学社会,1,海城_2017_2_社会.docx
B45,2021,小学社会,1,浦和明の星女子_2021_2_社会.docx
I01,2013,小学社会,1,早稲田_2008_社会.docx
C12,1998,小学社会,1,学習院女子_2020_社会.docx
E43,2005,小学社会,1,成蹊_2019_社会.docx
G72,2015,小学社会,1,フェリス女学院_2010_社会.docx
I11,2021,小学社会,1,東京農大第一_2015_社会.docx
H86,2021,小学社会,1,立教女学院_2022_社会.docx
B15,2016,小学社会,1,浅野_2016_社会.docx
B27,2021,小学社会,1,市川_2019_社会.docx
J46,2021,小学社会,1,中央大附属_2013_社会.docx
G93,2014,小学社会,1,雙葉_2003_社会.docx
H71,2022,小学社会,1,横浜共立学園_2018_社会.docx
B15,1996,小学社会,1,浅野_1996_社会.docx
E44,2005,小学社会,1,聖光学院_2015_社会.docx
H40,2013,小学社会,1,明大付属中野_2020_社会.docx
B45,2016,小学社会,1,浦和明の星女子_2015_1_社会.docx
B16,2011,小学社会,1,麻布_2022_社会.docx
C98,2007,小学社会,1,攻玉社_2020_社会.docx
D32,2016,小学社会,1,栄東_2020_社会.docx
E44,2014,小学社会,1,聖光学院_2012_社会.docx
D74,2018,小学社会,1,渋谷教育学園幕張_2020_社会.docx
D48,2003,小学社会,1,サレジオ学院_2017_社会.docx
C58,2017,小学社会,1,共立女子_2017_社会.docx
E20,2015,小学社会,1,女子学院_2019_社会.docx
E30,2022,小学社会,1,巣鴨_2019_社会.docx
C81,2010,小学社会,1,慶應湘南藤沢_2007_社会.docx
F18,2005,小学社会,1,筑波大附属駒場_2005_社会.docx
H43,2020,小学社会,1,明大中野八王子_2020_社会.docx
F80,2004,小学社会,1,豊島岡女子学園_2007_社会.docx
D70,2016,小学社会,1,芝_2018_社会.docx
B96,2019,小学社会,1,開成_2007_社会.docx
B11,2017,小学社会,1,青山学院_2014_社会.docx
C41,2002,小学社会,1,吉祥女子_2013_社会.docx
G93,2022,小学社会,1,雙葉_2021_社会.docx
H31,2008,小学社会,1,武蔵_1993_社会.docx
F18,2011,小学社会,1,筑波大附属駒場_2002_社会.docx
H32,2020,小学社会,1,東京都市大付属_2021_社会.docx
C22,2017,小学社会,1,神奈川大附属_2016_社会.docx
B11,2021,小学社会,1,青山学院_2013_社会.docx
C83,2006,小学社会,1,慶應普通部_2009_社会.docx
C41,2019,小学社会,1,吉祥女子_2014_社会.docx
I02,2022,小学社会,1,早稲田実業_2019_社会.docx
H41,2022,小学社会,1,明大付属明治_2015_社会.docx
D73,2021,小学社会,1,渋谷教育学園渋谷_2021_1_社会.docx
J47,2019,小学社会,1,早大高等学院_2017_社会.docx
C81,2020,小学社会,1,慶應湘南藤沢_2012_社会.docx
E32,2016,小学社会,1,逗子開成_2021_社会.docx
E44,2017,小学社会,1,聖光学院_2007_社会.docx
D73,2016,小学社会,1,渋谷教育学園渋谷_2015_社会.docx
H14,2001,小学社会,1,本郷_2019_社会.docx
C82,1997,小学社会,1,慶應中等部_2009_社会.docx
B45,2008,小学社会,1,浦和明の星女子_2021_社会.docx
D74,2018,小学社会,1,渋谷教育学園幕張_2013_1_社会.docx
B60,2022,小学社会,1,鴎友学園女子_2019_社会.docx
H03,2021,小学社会,1,法政第二_2016_社会.docx
F17,2013,小学社会,1,筑波大附属_2022_社会.docx
C81,2019,小学社会,2,慶應湘南藤沢_2015_社会.docx
D16,2020,小学社会,1,香蘭女学校_2015_社会.docx
H86,1999,小学社会,1,立教女学院_2012_社会.docx
D98,2011,小学社会,1,頌栄女子学院_2017_社会.docx
B96,2014,小学社会,1,開成_2015_社会.docx
F80,2009,小学社会,1,豊島岡女子学園_2015_社会.docx
G72,2009,小学社会,1,フェリス女学院_2020_社会.docx
F18,2021,小学社会,1,筑波大附属駒場_2017_社会.docx
F69,2014,小学社会,1,東洋英和女学院_2017_社会.docx
B96,1997,小学社会,1,開成_2012_社会.docx
H86,2003,小学社会,1,立教女学院_2015_社会.docx
B15,2022,小学社会,1,浅野_2021_社会.docx
F80,1997,小学社会,1,豊島岡女子学園_2012_社会.docx
C81,2013,小学社会,1,慶應湘南藤沢_2013_社会.pdf
H31,2016,小学社会,1,武蔵_2022_社会.pdf
G23,2011,小学社会,1,日本女子大附属_2022_社会.pdf
E32,2020,小学社会,1,逗子開成_2020_社会.pdf
E44,2014,小学社会,1,聖光学院_2006_社会.pdf
D16,2013,小学社会,1,香蘭女学校_2013_社会.pdf
D74,2021,小学社会,1,渋谷教育学園幕張_2000_1_社会.pdf
D74,2014,小学社会,1,渋谷教育学園幕張_2015_1_社会.pdf
H41,2008,小学社会,1,明大付属明治_2014_社会.pdf
J47,1993,小学社会,1,早大高等学院_2016_社会.pdf
H03,2017,小学社会,1,法政第二_2020_社会
I02,2021,小学社会,2,早稲田実業_1999_社会.pdf
B16,2019,小学社会,1,麻布_2007_社会.pdf
J47,1995,小学社会,1,早大高等学院_2020_社会.pdf
B45,2014,小学社会,1,浦和明の星女子_2011_社会.pdf
D24,2020,小学社会,1,駒場東邦_2008_社会.pdf
H41,2001,小学社会,1,明大付属明治_2022_社会.pdf
F63,2019,小学社会,1,桐朋_2018_社会.pdf
D16,2019,小学社会,1,香蘭女学校_2022_社会.pdf
H31,2004,小学社会,1,武蔵_2013_社会.pdf
G23,2014,小学社会,1,日本女子大附属_2013_社会.pdf
D71,2013,小学社会,1,芝浦工業大附属_2015_社会.pdf
#N/A,2010,小学社会,1,実践女子学園_2020_社会.pdf
D74,2021,小学社会,1,渋谷教育学園幕張_2005_社会.pdf
C81,2006,小学社会,1,慶應湘南藤沢_2022_社会.pdf
B45,2009,小学社会,1,浦和明の星女子_2016_社会.pdf
B16,2017,小学社会,1,麻布_2000_社会.pdf
H03,2012,小学社会,1,法政第二_2021_社会.pdf
F17,2015,小学社会,1,筑波大附属_2015_社会.pdf
D73,2015,小学社会,1,渋谷教育学園渋谷_2022_社会.pdf
C01,2003,小学社会,1,開智_2018_社会.pdf
F18,2013,小学社会,1,筑波大附属駒場_2020_社会.pdf
F69,2017,小学社会,1,東洋英和女学院_2020_社会.pdf
F80,2014,小学社会,1,豊島岡女子学園_2022_社会.pdf
G72,2018,小学社会,1,フェリス女学院_2017_社会.pdf
D98,2009,小学社会,1,頌栄女子学院_2020_社会.pdf
J46,2011,小学社会,1,中央大附属_2014_社会.pdf
G93,2018,小学社会,1,雙葉_2004_社会.pdf
E20,2011,小学社会,2,女子学院_1999_社会.pdf
B95,2021,小学社会,1,海城_2017_2_社会.pdf
B45,2021,小学社会,1,浦和明の星女子_2021_2_社会.pdf
I01,2013,小学社会,1,早稲田_2008_社会.pdf
C12,1998,小学社会,1,学習院女子_2020_社会.pdf
E43,2005,小学社会,1,成蹊_2019_社会.pdf
G72,2015,小学社会,1,フェリス女学院_2010_社会.pdf
I11,2021,小学社会,1,東京農大第一_2015_社会.pdf
H86,2021,小学社会,1,立教女学院_2022_社会.pdf
B15,2016,小学社会,1,浅野_2016_社会.pdf
B27,2021,小学社会,1,市川_2019_社会.pdf
J46,2021,小学社会,1,中央大附属_2013_社会.pdf
G93,2014,小学社会,1,雙葉_2003_社会.pdf
H71,2022,小学社会,1,横浜共立学園_2018_社会.pdf
B15,1996,小学社会,1,浅野_1996_社会.pdf
E44,2005,小学社会,1,聖光学院_2015_社会.pdf
H40,2013,小学社会,1,明大付属中野_2020_社会.pdf
B45,2016,小学社会,1,浦和明の星女子_2015_1_社会.pdf
B16,2011,小学社会,1,麻布_2022_社会.pdf
C98,2007,小学社会,1,攻玉社_2020_社会.pdf
D32,2016,小学社会,1,栄東_2020_社会.pdf
E44,2014,小学社会,1,聖光学院_2012_社会.pdf
D74,2018,小学社会,1,渋谷教育学園幕張_2020_社会.pdf
D48,2003,小学社会,1,サレジオ学院_2017_社会.pdf
C58,2017,小学社会,1,共立女子_2017_社会.pdf
E20,2015,小学社会,1,女子学院_2019_社会.pdf
E30,2022,小学社会,1,巣鴨_2019_社会.pdf
C81,2010,小学社会,1,慶應湘南藤沢_2007_社会.pdf
F18,2005,小学社会,1,筑波大附属駒場_2005_社会.pdf
H43,2020,小学社会,1,明大中野八王子_2020_社会.pdf
F80,2004,小学社会,1,豊島岡女子学園_2007_社会.pdf
D70,2016,小学社会,1,芝_2018_社会.pdf
B96,2019,小学社会,1,開成_2007_社会.pdf
B11,2017,小学社会,1,青山学院_2014_社会.pdf
C41,2002,小学社会,1,吉祥女子_2013_社会.pdf
G93,2022,小学社会,1,雙葉_2021_社会.pdf
H31,2008,小学社会,1,武蔵_1993_社会.pdf
F18,2011,小学社会,1,筑波大附属駒場_2002_社会.pdf
H32,2020,小学社会,1,東京都市大付属_2021_社会.pdf
C22,2017,小学社会,1,神奈川大附属_2016_社会.pdf
B11,2021,小学社会,1,青山学院_2013_社会.pdf
C83,2006,小学社会,1,慶應普通部_2009_社会.pdf
C41,2019,小学社会,1,吉祥女子_2014_社会.pdf
I02,2022,小学社会,1,早稲田実業_2019_社会.pdf
H41,2022,小学社会,1,明大付属明治_2015_社会.pdf
D73,2021,小学社会,1,渋谷教育学園渋谷_2021_1_社会.pdf
J47,2019,小学社会,1,早大高等学院_2017_社会.pdf
C81,2020,小学社会,1,慶應湘南藤沢_2012_社会.pdf
E32,2016,小学社会,1,逗子開成_2021_社会.pdf
E44,2017,小学社会,1,聖光学院_2007_社会.pdf
D73,2016,小学社会,1,渋谷教育学園渋谷_2015_社会.pdf
H14,2001,小学社会,1,本郷_2019_社会.pdf
C82,1997,小学社会,1,慶應中等部_2009_社会.pdf
B45,2008,小学社会,1,浦和明の星女子_2021_社会.pdf
D74,2018,小学社会,1,渋谷教育学園幕張_2013_1_社会.pdf
B60,2022,小学社会,1,鴎友学園女子_2019_社会.pdf
H03,2021,小学社会,1,法政第二_2016_社会.pdf
F17,2013,小学社会,1,筑波大附属_2022_社会.pdf
C81,2019,小学社会,2,慶應湘南藤沢_2015_社会.pdf
D16,2020,小学社会,1,香蘭女学校_2015_社会.pdf
H86,1999,小学社会,1,立教女学院_2012_社会.pdf
D98,2011,小学社会,1,頌栄女子学院_2017_社会.pdf
B96,2014,小学社会,1,開成_2015_社会.pdf
F80,2009,小学社会,1,豊島岡女子学園_2015_社会.pdf
G72,2009,小学社会,1,フェリス女学院_2020_社会.pdf
F18,2021,小学社会,1,筑波大附属駒場_2017_社会.pdf
F69,2014,小学社会,1,東洋英和女学院_2017_社会.pdf
B96,1997,小学社会,1,開成_2012_社会.pdf
H86,2003,小学社会,1,立教女学院_2015_社会.pdf
B15,2022,小学社会,1,浅野_2021_社会.pdf
F80,1997,小学社会,1,豊島岡女子学園_2012_社会.pdf